序号,诉求内容
9299,市民反映，朝阳区小红门地区肖村桥西侧有一条凉水河，凉水河有异味，影响居民生活，时间持续半年了，来电反映凉水河异味扰民问题。注：请及时向来电反映反馈办理情况。工单退回：退回：市中心您好，凉水河是市管河道，建议转市水务局
9754,市民反映，朝阳区亚运村街道元大都城遗址公园小河，市民称现在有人往里面排放污水，不清楚谁排放的现在还在排放无人处理，来电反映乱排放污水的问题，注：请及时向来电人反馈办理情况。
7214,市民反映，朝阳区延静西里4号楼南侧的河道北侧，自己发现树木上的虫子都把树叶咬秃了，希望相关部门尽快处理，来电反映树木需除虫问题。注：市民反映另一问题，已新建工单，详情见热线-210927-014103
1010,市民反映，朝阳区杨闸环岛河边往南路东，路上有很多的黑色虫子，来电反映路上有很多虫子的问题，注：请及时向来电人反馈办理情况。经核实。申诉人反映的问题为通惠河每年春秋时节飞虫漫天，造成附近居民，出行都得戴口罩戴眼镜，造成极大的不便与安全隐患，已持续很多年未曾彻底根治。经查此问题是由通惠河水草引起的大量飞虫，应属北京市水务局所属，已经超出属地权限，根据《北京市接诉即办工作条例》第十二条规定，对权责明确，管辖清晰的，直接派单至承办单位。请中心转派北京市水务局处理回复。
920,市民反映，朝阳区与昌平区交界处的小清河钓鱼的人非常多，市民表示具体位置是在清河路陈营附近，但是不清楚到底是属于哪个区管辖，来电反映钓鱼破坏环境问题。注：请及时向来电人反馈办理情况。
7661,市民反映，朝阳区元大都城垣遗址公园的雕塑群一直向东走道尽头，河段内特别的脏，碎砖头、水草特别多，几乎占了河的一半。来电反映公园内河道无人清理问题。注：请及时向来电人反馈办理情况。
66,市民反映，朝阳区元大都公园东段那条河近期有一股化学味道，特别刺鼻，希望进行处理，来电反映异味扰民。注：联系市民手机号：13651314676。注：请及时向来电人反馈办理情况。工单流转，2023年6月2日9时35分，元大都公园工作人员以电联方式与13651314676联系，针对异味扰民问题进一步核实，回复如下：市民反映安定路附近河道水体有刺激性气味，此处河道管理由北京市城市河湖管理处负责，污水排放问题应由排水集团负责处理。6月2日9时38分，公园与排水集团郭姓工作人员（1310608895）联系，经由排水集团公平作人员现场核实，排水口未排放污水。6月2日10时55分，公园与水务局杜姓工作人员（88821952）联系，对方承认小月河水体由北京市城市河湖管理处负责，非元大都公园管辖范围，对方同意接收。请北京市城市河湖管理处核实处理。依据《接诉即办工作条例》第十二条，第(一)项 对权责明确、管辖清晰的，直接派单至承办单位；请北京市城市河湖管理处核实处理。
8193,市民反映，朝阳区元大都公园里面小月河，里面河水恶臭，希望相关尽快治理，来电反映治理河水问题。注：请及时向来电人反馈办理情况。2021年7月19日8时46分，我单位程桂清以电联方式联系来电人13146779800，针对市民反映治理河水问题进行了进一步核实，小月河河道管理由北京市城市河湖管理处负责，来电人反映需要治理的地点准确位置位于安立路水坝附近。请北京市城市河湖管理处核实处理。
12025,"市民反映，朝阳区元大都遗址公园里面挨着京藏高速东半段的河道里面以前有水，现在没水了，很多小鱼苗都在小水坑内，水很少，不清楚什么原因没水，一天都没水的话小鱼苗就干死了，希望尽快解决，来电反映河道内没有水问题。注：请及时向来电人反馈办理情况。工单流转：退回您好，您的问题已收悉，您反映的河道内没有水问题问题，经过我局河道所核实，小月河属于护城河一支河段，属于市管河道，请退市中心给北京市水务局河湖管理处。，，感谢您对我们工作的理解与支持。( ,水务局 )"
6721,市民反映，朝阳区元大都遗址公园土城沟朝阳段地铁北土城站到安定路中线南岸这段，这段河的南岸排水口正在排灰白的水，希望帮助处理，来电反映排污问题注：请及时向来电人反馈办理情况。工单流转：2021年11月4日16时40分，区水务局河道一所工作人员联系13522214567来电人，就反映排污问题进行回复。市民反映问题河道非我局权属。经河道一所核实，此段河道为北土城沟，权属在北京市水务局，（转北京市水务局办理）。
1312,市民反映，朝阳区中国医学科学院肿瘤医院南墙往西二环里边护城河东岸有一个排污口，该排污口不停的往河里排放土黄色的污水，希望相关部门帮助解决往河里排污水问题。注：不需要回复工单流转：排水集团退回：2023年2月24日11时，排水集团工作人员联系反映人匿名先生，电话号码：15611444800。了解具体诉求为：解决排河口排污问题。我单位办理情况为：经核实，非排水集团运营范围。经溯源排污管线位于中国医学科学院肿瘤医院北侧道路，权属属于中国医学科学院肿瘤医院家属院户线。已回复反映人，因我单位不掌握家属院内管线情况，建议市中心转派朝阳区潘家园街道协调物业核实处置。注：工单流转：经核实来电人反映中国医学科学院肿瘤医院南墙往西护城河东岸有一个排污口往河里排放黄色污水问题。经我单位工作人员到现场核实，确实存在一个排污口，排污口里的水颜色呈现为黄色。该河道由市水务局管理。市水务局综合执法总队已经前往现场调查并约谈肿瘤医院（见附件）。根据《北京市接诉即办工作条例》第十二条“（一）对权责明确、管辖清晰的，直接派单至承办单位办理，故建议转派至北京市水务局核实办理，谢谢。
2146,市民反映，朝阳区肿瘤医院西门龙台湖东门前面一点拐弯处正在建楼的地方，下面的龙台湖东门的护城河的大闸，水比较深，看不出来垃圾，水从上游流过来，大闸南边，水比较浅的地方可以看到，水里有很多树叶、垃圾，导致水有味道，希望相关部门重视一下环境卫生情况，来电反映护城河水有垃圾问题注：请及时向来电人反馈办理情况
8150,市民反映，朝阳区周庄嘉园地区萧太后河，市民称归十八里店和南磨房乡政府共同管理，市民称河两侧的树木都长了观赏果但是有人私自上树采摘，导致果落了一地，没人清理，河里还有观赏鱼，有人拿着漏网进行捕捞，来电反映希望对萧太后河周边环境加强管理注：市民不要求反馈（已解释）。工单退回说明：指挥中心您好：关于标题为希望对萧太后河周边环境加强管理的问题，经属地电话核实，诉求人表示有人在河道内粘鱼，有人在河道边上观赏树上摘果子，诉求人反映的两个问题归园林绿化局和税务局管理，请市中心转市园林绿化局和市水务局办理。
12111,市民反映，朝阳区左家庄街道东外斜街8号院奥克伍德酒店（现在叫壁浪湾酒店，正在装修）南侧有一条护城河，其他河段灯光明亮，到此处的河段又臭又脏，用绿布给挡上了，不清楚为何不给治理此段河道，此处特别的脏，有检查的人，相关的人员不向这带，来电反映河道环境差无人治理问题。注：请及时向反映人反馈处理情况。
3755,市民反映，朝阳通惠河，市民表示自己每次都去哪个河旁边的路去散步但是河里很多杂草还有脏水，还有异味很丑，因为夏天了有时候人们去散步很影响，希望相关部门核实处理一下，来电反映河道不干净的问题注：请及时向来电人反馈处理情况工单流转：2022年6月21日下午14:10分，经我局河长制工作科人员核查，市民反映的位置位于通惠河双桥地铁站往东，市民家住朝阳旺角小区，反映附近通惠河河道里有很多杂草，水质也不太好有臭味。通惠河属市管河道，管理单位为北京市水务局下属单位北京市城市河湖管理处，建议将此件转至北京市水务局。
975,市民反映，潮白河右堤路靠近通州区宋庄镇有人往河里到建筑垃圾无人处理，来电反映潮白河问题注：请及时向来电人反馈办理情况。
11811,"市民反映，称大兴亦庄凉水河路退水渠桥往南大约至少三公里的道路两侧柳树被砍。起初认为是修路，但是后来发现该地区将原来种植询问 10-20年的柳树砍掉后，又重新种植新的小树苗。市民表示很不理解。了解得知市民没有询问当时在场的工作人员，并且砍树的人都在挖掘机里，根本没办法靠近。并且该路段数目已被砍伐了近60%左右。市民觉得很可惜。希望相关部门可以告知为何要将退水渠桥道路两侧柳树砍伐的问题。注：请及时向反映人反馈办理情况工单流转，大兴区退回：建议咨询北京市凉水河管理处,谢谢"
7101,市民反映，称石景山区苹果园街道刘娘府桥桥下的鱼都死了，存在两天了，自己想知道鱼的死因，希望有关部门调查处理，来电反映核实鱼的死因注：请及时向来电人反馈办理情况。工单流转：石景山区退回：市中心：已与来电人沟通解释，反映点位为市河湖管理处权属，请市河湖管理处处理，已与河湖管理处王莹联系 电话88821957.请市城市河湖管理处处理。
3759,市民反映，称在朝阳区六里屯街道二道河桥头东侧有一棵榆树，市民表示这个榆树长高了现在行人通过的时候会碰到，希望相关部门可以修剪一下树木，来电反映修剪树木树枝问题。注：请及时向来电人反馈办理情况。工单流转，退回：经我单位工作人员现场核实，诉求所反映的树木位置为十里堡路南侧，二道沟河桥头东北角，处于河岸栅栏内，为河湖管界，此处树木由河湖管理处进行养护，我单位已和市河湖管理处工作人员沟通，对方已同意接收。此诉求非我权属，申请转其上级单位北京市水务局进一步办理，谢谢。
3930,"市民反映，称自己在通州区西集镇唐通路北运河河边小路散步的时候，绿地喷水器会把水喷到路面上，还喷到自己了。来电反映调整绿地喷水器注：请及时向来电人反馈办理情况。工单流转：集镇:经核实,来电人反映点位为北运河河堤两侧绿化带,北运河河堤两侧绿化带的绿化产权单位为北京市北运河管理处。北运河管理处负责绿化养护,防汛、水环境保护等具体工作。建议市中心转派北京市水利局北运河管理处协调处置。谢谢!"
9101,市民反映，从朝阳区到丰台区的这段凉水河，每到雨季的时候都在开放排污管道，排放有毒污水，导致河里的鱼虾之类的生物全死了，市民认为不合理，认为雨季的时候沿岸的排污管道应该全部堵死，来电反映河道排污。注：市民表示不需要回复。
4658,市民反映，从朝阳区双桥地铁站东口出来，往南走桥附近河南岸有一人行道，天天有小黑虫，非常严重，不清楚哪里管，希望由河道的相关部门或园林部门处理，希望有关部门尽快处理小黑虫问题。注：请及时向来电人反馈办理情况。经核实，诉求人反映的位置为通惠河岸边，此地属于北京市水务局下属的城市河湖管理处通惠河管理所，根据《北京市接诉即办工作条例》第十一条第五项超出承办单位职责范围的诉求，告知诉求人通过市场、社会等其他渠道解决，可以交由有关单位履行监督、指导等职责；因此建议转北京市水务局处理。
3129,市民反映，从东城区龙潭湖公园大闸到左安门桥的护城河，水特别臭，把鱼都给呛死了，来电反映水特别臭问题。注：请及时向来电人反馈办理情况。注：工单流转：退回：根据市民高先生反映水特别臭的问题，2022年8月6日东城区城管委安排水务管理科王怡核实办理，经核实，此问题为市河湖处管辖范围，建议转市河湖处处理。
3230,市民反映，从东城区龙潭湖公园大闸到左安门桥的护城河，水有臭味，鱼都翻白了，市民不认可，来电希望有关部门处理水有异味的问题。注：请及时向来电人反馈办理情况经东城区城管委核实：根据市民反映的问题，由水务科王怡到现场了解情况，经现场核实此处为市河湖处管辖范围，请转市河湖处处理。
8808,市民反映，从丰台区南站到马家堡西侧河边路路段上有很多的小飞虫，但是一直都没有人进行消杀，市民觉得不合理。来电反映希望对小虫子进行消杀的问题。注：请及时向来电人反馈办理信息。工单流转：丰台区退回：经我区水务局核实：经我局工作人员核实，反映人反映的南站到马家堡西侧河道为凉水河，凉水河属市管河道，非我局权属。建议转派至北京市水务局核实办理。
10632,市民反映，从海淀区西北旺镇百望山森林公园往亮甲店西站走的路上，路边的树垂直向下没有人管理，十分危险，市民希望能够清理树枝或者进行维修，希望相关部门帮助解决修理树枝问题。注：请及时向来电人反馈办理情况。工单流转：退回：来信人您好，您反映的信件，西北旺镇 进行了调查，并答复如下： 经核实：经我镇核实，此案件请平台协转市中心转京密引水渠管理处核实处理。
9550,市民反映，大兴区（不清楚街道）跟亦庄交界处有一道凉水河，经常有人进去拔水草，觉得对环境不好，来电希望相关部门帮助解决拔水草不合理。注：请及时向反映人反馈办理情况。
2479,市民反映，大兴区北臧村镇六合庄村永定河左地路杨树有虫子，自己也有打药，还是不管用，来电反映树上有虫问题。注：请及时向来电人反馈办理情况。工单流转，经北臧村镇核实，反映反映问题为永定河左堤路驱虫问题，此路段为永定河管理处负责，请市中心帮忙转派北京市永定河管理处，谢谢
9955,"市民反映，大兴区从中信桥上游的从旧宫桥的凉水河两侧岸边的垃圾特别多，工作人员把杂草往下桶，来电反映希望及时清理垃圾的问题。注：请及时向来电人反馈办理情况。工单流转，退回：经旧宫镇核实,与反映人电话沟通,反映人描述具体位置为凉水河两侧,主要位置位于凉水河亦庄区域有个拦水的蓝色充气大坝,市民反映为凉水河管理问题,请退至凉水河管理处处理"
10566,"市民反映，大兴区和朝阳区交界珊瑚桥向南的凉水河归大兴区管辖，在河的西岸的河边有很多虫子，像苍蝇一样，称刚立春不应该有这么多虫子，希望治理，来电反映希望治理河边的虫子的问题。注：请及时向来电人反馈办理情况。工单流转：大兴区退回：经旧宫镇核实,市民反映的希望治理凉水河河边的虫子问题,应由凉水河管理单位负责,凉水河属于凉水河管理处管辖,故请退至凉水河管理处"
9097,"市民反映，大兴区京良路和左堤路（南侧）的路边有花，花已经长出来，涨到车道上，存在安全隐患，希望相关部门清理长在路上的花的枝叶，来电反映希望清理花的枝叶注：请及时向来电人反馈办理情况。注：录音见热线-210521-015539自己经大兴区黄村镇政府核实,关于市民反映希望清理花的枝叶问题,经外勤人员现场核实,左堤路的绿化带是永定河管理所种植并养护,与京南风景园林绿化工程有限公司联系,市民反映位置,非其种植地块,非黄村镇管辖范围,建议转派北京市永定河管理所。工单退回：经大兴区黄村镇政府核实,关于市民反映希望清理花的枝叶问题,经外勤人员现场核实,左堤路的绿化带是永定河管理所种植并养护,与京南风景园林绿化工程有限公司联系,市民反映位置,非其种植地块,非黄村镇管辖范围,建议转派北京市永定河管理所。"
8574,市民反映，大兴区京良路和左堤路（南侧）的路边有花，花已经长出来，涨到车道上，存在安全隐患，希望相关部门清理长在路上的花的枝叶，市民表示问题并未解决，来电反映希望清理花的枝叶。注：请及时向来电人反馈办理情况。
7267,市民反映，大兴区旧宫北路凉水河两边桥洞下边有污水排放，直接排到凉水河里，没有任何措施，特别臭，来电反映污水排放问题，希望相关部门帮助解决。注：请及时向来电人反馈办理情况。
10109,"市民反映，大兴区旧宫地铁站东侧有个桥，是凉水河的，桥下有两个对称的排污口，能看到之前排放的污水，很臭，应该都是晚上排放，来电反映偷排污水。注：请及时向来电人反馈办理情况。工单流转：经旧宫镇核实,市民反映的点位归凉水河管理处管辖,请退至北京市凉水河管理处"
3897,"市民反映，大兴区旧宫镇地铁站凉水河边，水上浮着很多死鱼，水非常臭，来电反映河边环境差问题。注：请及时向来电反映反馈办理情况。  工单流转：经旧宫镇核实,凉水河由凉水河管理处负责管理,凉水河环境差问题,应由凉水河管理处统一处理,故该工单建议转派至凉水河管理处协调处理。"
10528,市民反映，大兴区旧宫镇旧宫地铁站挨着凉水河有一个小红门排污口，往凉水河排污水，都是泡沫，来电反映违规排污的问题。注：请及时向来电人反馈办理情况。
6600,"市民反映，大兴区旧宫镇旧宫桥桥下大约30米处东岸有个排污口，一直有污水流出了，排放量也不小，希望环保部门部门去调查看看有没有问题，来电反映排放污水问题。注：请及时向来电人反馈办理情况。工单流转，大兴区回复，经生态环境局调查,市民反映的点位为凉水河地下污水管线所排出的污水,凉水河为市管河道,根据依据《城镇排水与污水处理条例》第二十条 城镇排水设施覆盖范围内的排水单位和个人,应当按照国家有关规定将污水排入城镇排水设施。 第四十九条 违反本条例规定,城镇排水与污水处理设施覆盖范围内的排水单位和个人,未按照国家有关规定将污水排入城镇排水设施,或者在雨水、污水分流地区将污水排入雨水管网的,由城镇排水主管部门责令改正,给予警告;逾期不改正或者造成严重后果的,对单位处10万元以上20万元以下罚款,对个人处2万元以上10万元以下罚款;造成损失的,依法承担赔偿责任。 建议该案件转派北京市水务部门查处为妥。"
7350,"市民反映，大兴区旧宫镇旧水花园南侧有3,4颗，挡住松凯达路南北走想的视野，容易出行交通事故，希望能把树挪走，来电反映树木挡住视野问题.注：请及时向来电人反馈办理情况。工单流转：经旧宫镇核实,市民反映的点位为凉水河西岸沿河道的几棵松树,归凉水河管理处管理,故树木挡视线的问题,建议转派凉水河管理处协调处理。"
8464,市民反映，大兴区旧宫镇凉凤灌渠河与南五环交叉点西南角开发商，开发名称自己不知道，开发商往河道里排污水，量很大都是泥浆，造成下游水质浑浊且有臭味，开发商处还有很多个集装箱，集装箱旁边都是垃圾，垃圾也往河里倒，此问题存在一周无人治理，自己有照片、视频为证，市民要求记录：开发商说自己跟北京的官关系好告也告不到他们那，市民强烈要求相关职能部门接到自己诉求24小时内解决（已解释），来电反映河道内垃圾问题。注：请及时向来电人反馈办理情况。
10781,"市民反映，大兴区旧宫镇旺兴湖郊野公园北区凉水河有企业往河里排放污水，是在河的北侧小红门混凝土有限公司王河里排放污水，不清楚存在多长时间，来电反映乱排污水问题注：请及时向来电人反馈办理信息。工单流转：经旧宫镇核实,市民反映的凉水河有企业往河里排放污水问题,应由凉水河管理单位负责,凉水河属于凉水河管理处管辖,故请退至凉水河管理处"
12588,"市民反映，大兴区旧宫镇亦庄北岸东北面的凉水河河段有异味产生，河上飘着垃圾，味道非常大，严重影响附近居民生活，来电反映河水臭味扰民。注：请及时向来电人反馈办理情况。工单流转：大兴区旧宫镇退回：经核实,市民反映的河上飘着垃圾,味道非常大的问题。属于凉水河管理处管辖,请退至凉水河管理处。"
1112,市民反映，大兴区凉水河里面的水草太多，水位降下去水草都漏出来了，看得特别不舒服，以及河面上还有垃圾，希望相关部门进行清理注：请及时向来电人反馈办理情况。工单流转：退回：经核实，市民反映的凉水河水草位于凉水河内部，由凉水河公园管理处负责管护，又经核实，凉水河公园管理处上级部门为北京经济技术开发区基建办，故请转北京经济技术开发区基建办协调处理，谢谢。工单流转：市中心：关于市民反映的凉水河水草太多问题，经开发区土储建设中心核实，以凉水河河道上方挡土墙未界，土储建设中心负责公园的绿化养护工作，河道问题由凉水河管理处负责，烦请市中心转至凉水河管理处核实处理。
9148,"市民反映，大兴区南四环往南肖通桥路西凉水河，凉水河一路都有臭味，这个路段有没有部门进行处理。来电反映异味问题。注：请及时向来电人反馈办理情况。注：工单流转：大兴区退回：经旧宫镇核实,市民反映的凉水河水质发臭问题应由凉水河管理处负责,请退至凉水河管理处协调处理"
3906,"市民反映，大兴区南五环凉水河桥下面有一个水闸，水闸一直排放乳白色的水，觉得不合理，造成环境污染，来电反映排放污染水不合理。注：市民不需要回复工单流转：退回，经大兴区生态环境局核实,凉水河为市属河道,市民反映的排放口为雨水排口,超出生态环境职权范围,建议转派凉水河管理处处理"
7066,"市民反映，大兴区三台山路路西侧收废品小院，市民称小院内垃圾往河道倾倒。夜间22点之后还存在喷漆现象。来电反映收费品站倾倒垃圾。注：请及时向来电人反馈办理情况。.工单流转退回：经旧宫镇核实,市民反映的凉水河归凉水河管理处管理,故旧宫桥下凉水河排放问题,建议转派北京市凉水河管理处处理"
3986,"市民反映，大兴区亦庄凉水河，在南海雅苑北区2号楼挨着河边的公园，6月8号晚上凌晨1点多还广播，喇叭声音非常扰民，希望相关部门核实处理一下，来电反映广播扰民问题。注：请及时向来电人反馈办理情况。工单流转，退回：经亦庄镇核实,河边公园为滨河公园,属于经开区60平方公里,请转派经开区工单流转：市中心：经开发区土储建设中心滨河公园工作人员现场核实，市民反映的点位为凉水河管理处管辖范围，非开发区管辖。故烦请转市中心凉水河管理处核实解决。"
12413,市民反映，大兴区亦庄凉水河规划问题，市民称自己观察了很多年了，称河两岸栽的都是柳树成活率不高，年年补栽都不活，可能树种不好，建议再补种可以换换树种，市民称有一种树可能是叫风铃树，具体名字不清楚，称那种树成活率比较高，来电建议树种补换问题。注：请及时向来电人反馈办理信息。注：此工单为新建工单，原单单号为-热线-200903-024539
3985,"市民反映，大兴区亦庄凉水河一街南海雅苑北区2号楼1门401，市民表示自己昨晚没怎么睡，因为在小区滨河公园管理处安装了一个大喇叭，大喇叭一直放有险情，导致现在自己血压低，来电反映噪音扰民问题。注：请及时向来电人反馈办理情况。工单流转，退回：经亦庄镇核实,滨河公园管理处位于经开区60平方公里,请转派经开区工单流转：市中心：经开发区土储建设中心滨河公园工作人员现场核实，市民反映的点位为凉水河管理处管辖范围，非开发区管辖。故烦请转市中心凉水河管理处核实解决。"
2536,市民反映，大兴区亦庄南海子东路，挨着中信新城小区的东边，凉水河大桥下面，桥底下之前有观赏灯都正常亮着，现在灯也不亮了，有人以此打掩护往河里排污水，白天不排水，晚上就开始排水，主要是有两个大口径管子，该现象存在很长时间了。希望能过相关职能部门查实处理污水排放问题。注：请及时向来电人反馈办理情况。
4024,"市民反映，大兴区亦庄镇凉水河（同仁医院正门为中心的北侧段）河道，河内石头堆积起来的小桥（比较小），石头桥把海草遮挡，导致海草发出臭味，希望相关部门尽快情况，来电反映希望清理海草问题。注：请及时向反映人反馈办理情况。注：工单流转：退回：经亦庄镇核实,同仁医院周边属于经开区60平方公里,请转派开发区工单流转：市中心：经开发区城市运行局核实，清理水草不属我局职能范畴，河道养护单位负责水草清理工作，市民反映的河道水草问题建议市中心转北京市凉水河管理处。"
10081,市民反映，大兴区亦庄镇亦庄西环路凉水河河面上漂的都是水草，应该是之前割水草的时候没运走，现在全顺水冲下来了，非常污染水资源，希望核实处理，来电反映河面上漂水草的问题。 注：市民不需要回复。工单流转，退回：此工单烦请市中心转派北京凉水河管理处。
7776,"市民反映，大兴区亦庄镇中信新城路圈路1号，空气中弥漫着垃圾的味道，并且不清楚怎么回事，业主群也在讨论，但是不清楚哪里发出来的，希望调查处理，来电反映异味扰民问题。注：请及时向来电人反映办理情况。（工单流转，经亦庄镇与市民核实,市民反应的问题为凉水河的异味,不在亦庄镇管辖范围,建议转派北京市凉水河管理处）"
3813,市民反映，地址：海淀区清河街道永太庄路，河流污染，很多死鱼，上流有偷排的，来电反映河流污染问题。注：请及时向来电人反馈办理情况。 工单流转：退回：来信人您好，您反映的信件，水务局进行了调查，并答复如下：清河权属于北京市东水西调管理处管辖。区水务局联系北京市东水西调管理处告知相关诉求。北京市东水西调管理处告知：清河归其管辖，诉求由其处理。请转北京市东水西调管理处调查处理。
3184,"市民反映，地址：怀柔区刘各长大桥到跃进桥运河西侧，两边松树把路挡住了一部分，行人和车辆行驶不方便，问题存在一年多了，希望能修剪灌溉，来电反映修剪灌溉注：请及时向来电人反馈办理情况。工单流转,退回：09152怀柔区怀柔镇值班员1 处理结果: 经与诉求人电话核实，诉求人反映的是京密引水渠西侧的水渠道路边上的松树，应由京密引水管理处处理，请转派北京市水务局"
2621,"市民反映，地址：西城区月坛街道木樨地，木樨地河南岸（南北向）再往北的地方树荫下有虫子很多（市民表示在月坛街道），需要灭虫，来电反映树木除虫问题。注：请及时向来电人反馈办理情况。2022年9月9日13959号16:08分处理，联系63483969，市民称是木樨地往西拐弯处。工单流转；来信人您好，您反映的信件，北太平庄街道进行了调查，并答复如下：西城区月坛街道木樨地非我街道管辖，请转西城区处理。工单流转：经西城园林绿化有限责任公司月坛分公司副经理李海峰现场核实，于2022年9月11日10:32分与反应人电话63483969通话，了解事情缘由。此诉求件所描述区域非我公司权属，隶属于金都园林或海淀区园林绿化养护管辖范围。烦请市中心派至金都园林或海淀区园林绿化养护部门进行处理，谢谢工单流转：您好，关于您反映问题的办理情况，北太平庄街道 回复如下：木樨地非我街道管辖范围，西城区园林公司建议派至金都园林或海淀区园林绿化养护部门进行处理，请区中心转相关部门处理。感谢您对我们工作的理解与支持！注：请市级部门核实工单流转：来信人您好，您反映的信件，园林绿化局进行了调查，并答复如下：非权属，此处不是我单位管辖，有可能属于河道管理处（树木位置位于河道边上），同时，金都园林不是我单位管辖，属于北京市园林绿化局，隶属北京城建集团，相关与反映人的录音已上传，故申请回退。工单流转：北京城建集团有限责任公司退回，热线-220906-118985，诉求人反映树木除虫问题。经与来电人电话核实，诉求点位为木樨地桥以北，永定河引水渠向西拐角处，河道西侧护坡下方步行道。我单位非该区域产权单位，同时在此区域无绿化养护地块，该工单建议转至该区域河道管理单位协调解决。工单流转：来信人您好，您反映的信件，园林绿化局进行了调查,并答复如下：非权属，此处不是我单位管辖，有可能属于河道管理处（树木位置位于河道边上），同时，金都园林不是我单位管辖，属于北京市园林绿化局，隶属北京城建集团，相关与反映人的录音已上传，故申请回退。工单流转，退回：热线-220906-118985，诉求人反映树木除虫问题。经与来电人电话核实，诉求点位为木樨地桥以北，永定河引水渠向西拐角处，河道西侧护坡下方步行道。我单位非该区域产权单位，同时在此区域无绿化养护地块，该工单建议转至该区域河道管理单位协调解决。"
10992,市民反映，地址；北京市海淀区紫苑街道有一个南长河，目前有人排污水，每天12点排污水，现在正在排污，不清楚是什么人员排污，来电反映排污水问题。注；请及时向来电人反馈办理情况。工单流转：来信人您好，您反映的信件，水务局进行了调查，并答复如下：经核实南长河权属于北京市河湖管理处管辖，根据河长制以及《海淀区关于区级、街镇共有执法职权具体执法范围的划分意见》以及《北京市海淀区街镇行政执法案件调整管辖的规定（试行）》文件。请转北京市河湖管理处调查处理
1609,市民反映，东城区安定门鼓楼附近，有很多人在护城河滑野冰，近期天气变暖，存在安全隐患，希望加强管理，来电反映建议制止滑野冰问题。注：请及时向来电人反馈办理情况。工单流转：东城区安定门街道回退意见：关于市民反映的建议制止滑野冰问题，经安定门街道工作人员核实，依据《北京市河湖保护管理条例》第三十条有关规定，市和区水行政主管部门应当会同生态环境部门按照保护饮用水源安全和人身安全的要求，依法划定并公布禁止游泳、滑冰等水上活动的水域，设置警示标志；在未禁止游泳、滑冰等水上活动的水域，活动人员或组织者应当采取安全防护措施。新、改、扩建河湖工程时，河湖管理机构应当在陡岸、直墙等危险地段设置必要的安全防护设施。目前，北京市水务局仅就官厅水库、永定河山峡段、大宁调压池、团城湖调节池、筒子河、护城河明渠为禁止游泳、滑冰水域征求意见，相关考量应由北京市水务局进行解答，同时，何时落地实施也需水务局进行通知。综上，建议转派至北京市水务局协调处理，谢谢！
806,市民反映，东城区安定门护城河的大桥上往下看，河里都是死去的鱼，白的一片，自己怀疑有毒，来电反映护城河都是死鱼问题。注：请及时向来电人反馈办理情况。注：工单流转：安定门街道退回，经安定门街道工作人员核实，诉求人反映实际点位应为鼓楼桥东南角，经现场勘查，确实存在大量死鱼情况，但通过肉眼观察，未见河道水体黑臭情况，现场也未发现偷排污水废水的情况，因我街道无专业水质检测设备，无法对河水水质进行相关检测。经与区城管委沟通核实，二环护城河权属不属于东城区区属范围内，护城河河道内权属为市管，建议转市河湖处北环所。
11992,市民反映，东城区安定门街道安定门桥西东向西辅路（北二环安定门桥至钟楼北桥路段中间，由东向西方向的路段路中间）的两棵树到了，严重影响交通，来电反映树倒了无人处理问题。注：请及时向来电人反馈办理情况。工单流转：东城区安定门街道退回经安定门街道城管办工作人员核实，该点位倾倒树木产权单位为区园林局，请派至区园林局妥善处理工单流转：根据朱先生来电反映树倒了无人处理的问题，东城区城管委于2020年10月4日水务管理科王怡核实办理，经核实，非区城管委管理范围，请转市河湖处处理。水务科
3144,市民反映，东城区安定门桥阜城河，河道都成臭水沟，污染环境来电反映河道垃圾，注：请及时向来电人反馈办理情况。注：工单流转：经区城管委 ，意见：根据市民魏先生反映河道垃圾的问题，2022年8月5日东城区城管委由水务管理科王怡核实办理，经核实，此问题为市河湖处管辖范围，建议转市河湖处处理。
1372,市民反映，东城区安定门雍和宫有一个桥北护城河，河面的冰已经很薄了，还是有人在此地滑冰，希望相关部门治理一下，一旦出现冰面开裂，会很危险，来电反映冰面有人滑冰问题。注：请及时向来电人反馈办理进展。工单流转退回：经东城区安定门街道核实：关于市民反映的建议制止滑野冰问题，经安定门街道工作人员核实，依据《北京市河湖保护管理条例》第三十条有关规定，市和区水行政主管部门应当会同生态环境部门按照保护饮用水源安全和人身安全的要求，依法划定并公布禁止游泳、滑冰等水上活动的水域，设置警示标志；在未禁止游泳、滑冰等水上活动的水域，活动人员或组织者应当采取安全防护措施。新、改、扩建河湖工程时，河湖管理机构应当在陡岸、直墙等危险地段设置必要的安全防护设施。目前，北京市水务局仅就官厅水库、永定河山峡段、大宁调压池、团城湖调节池、筒子河、护城河明渠为禁止游泳、滑冰水域征求意见，相关考量应由北京市水务局进行解答，同时，何时落地实施也需水务局进行通知。综上，建议转派至北京市水务局协调处理，谢谢！
